ibex_sentence_key	expe_sentence_key	sentence_key	dossier-brat	texte	wh-in-situ-final	texte_expe	OK_Expe_perception	num_syll_OK_Expe_perception	The Voice Contest	nombre-de-mots	type-de-phrase	wh-type	pos-wh	func-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	neg	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	bad-prosodie	dislocation-droite	presence-eske	attention-dernier-mot	fin-partie-enlever	OK_SynCart	filename	locuteur	texte_turn_brut	spk_id	spk_age	spk_sex	segmented_OK	nombre_syll	nombre_mots_praat	brat_startT	brat_endT	dur_raw	dur_globale	Hz_min_global	Hz_max_global	Hz_mean_global	Hz_STD_global	st_min_global	st_max_global	st_mean_global	st_STD_global	w0_et	w0_startT	w0_endT	w0_n_syll	s0_et	s0_startT	s0_endT	V0_et	V0_startT	V0_endT	V0_midtime	V0_Hz_mid	V0_Hz_mean	V0_Hz_median	V0_st_STD	V0_st_mid	V0_st_mean	V0_st_median	s1_et	s1_startT	s1_endT	V1_word	V1_accented	V1_et	V1_startT	V1_endT	V1_midtime	V1_Hz_mid	V1_Hz_mean	V1_Hz_median	V1_st_STD	V1_st_mid	V1_st_mean	V1_st_median	diff_Hz_mid	diff_st_mid	diff_Hz_mean	diff_st_mean	diff_time	slope	final_intonation	PA_wh_Hz	PA_wh_st	PA_fin_Hz	PA_fin_st	dist_syll_wh_end	dist_time_wh_end
NO-000-de-0-F-WE2_A002_3662s521	000-de-0-WE2_A002_3662s521	WE2_A002_3662s521	WE2_decl_4	c'est différent du centre  			?	?	2	4	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A002.xml	spk1	c'est différent du centre 	ch_CD2	NOAGE	F	YES	6	4	0.035	1.135	1.604	1.1	122.77939237279	208.728412537435	167.237975355875	13.1067268143673	3.82208068578748	12.9180575127211	8.84837641059316	1.39288483931204	centre	0.635	1.135	1	sa\~^t\rc	0.635	1.135	a\~^	0.775	0.905	0.84	166.918172978692	171.290576882922	170.75238555149	0.777375472388278	8.86962694562364	9.30084050138828	9.26286881153235	dy	0.535	0.635	du	YES	y	0.585	0.635	0.61	159.531501181915	159.282924592457	159.548996338681	0.102556577168578	8.08609551363133	8.05885709462017	8.0879943984794	7.38667179677677	0.783531431992317	12.0076522904649	1.24198340676811	0.23	3.4066583999666	rising	NA	NA	NA	NA	NA	NA
NO-000-de-0-F-WE2_A002_3905s355	000-de-0-WE2_A002_3905s355	WE2_A002_3905s355	WE2_decl_3	c'est assez neutre  			?	?	1	3	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A002.xml	spk1	c'est assez neutre 	ch_CD2	NOAGE	F	YES	4	3	0.395	1.125	1.617	0.73	131.670710888271	285.942722660073	171.365467186611	50.0789426307451	4.76941324107983	18.1883541912045	8.69553826738174	4.54096402315947	neutre	0.745	1.125	1	n\o/t\rc	0.745	1.125	\o/	0.885	0.915	0.9	137.837542180375	137.779493295171	137.641938859306	0.064379050909934	5.55559423444344	5.54825436073861	5.53104143399276	se	0.575	0.745	assez	YES	e	0.685	0.745	0.715	148.356721902499	144.227731058901	143.06496219576	0.446604773145506	6.82784890018155	6.33537025499565	6.19905111212857	-10.5191797221246	-1.27225466573811	-6.44823776373045	-0.787115894257045	0.185	-6.87705224723305	fall	NA	NA	NA	NA	NA	NA
NO-000-de-0-F-WE2_A003_1246s138	000-de-0-WE2_A003_1246s138	WE2_A003_1246s138	WE2_decl_11	y a deux ans de cours et un an de stage  			?	?	?	11	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A003.xml	spk1	y a deux ans de cours et un an de stage 	KC3	NOAGE	F	YES	13	13	0.055	2.715	2.759	2.66	163.771882078123	456.242888212294	228.188242579801	49.5421163771341	8.93531105342637	26.277840925311	13.9435543979537	3.30030343804438	stage	2.305	2.715	2	ta\zh	2.395	2.715	a	2.445	2.565	2.505	248.399751567904	248.399751567904	247.996823327987	0.227377560246422	15.7519594139938	15.7505961366114	15.723831479261	d\sws	2.205	2.395	de	YES	\sw	2.245	2.305	2.275	190.45931455834	190.144679233508	189.918318186876	0.313096414324889	11.1537777039936	11.1228205876347	11.1044620573949	57.9404370095633	4.59818171000023	58.2550723343953	4.62777554897668	0.23	19.9920943913054	rising	NA	NA	NA	NA	NA	NA
NO-000-de-0-F-WE2_A003_2743s073	000-de-0-WE2_A003_2743s073	WE2_A003_2743s073	WE2_decl_6	j'aime bien les films indiens aussi  			?	?	2	6	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A003.xml	spk1	j'aime bien les films indiens aussi 	KC3	NOAGE	F	YES	9	7	0.065	1.545	1.751	1.48	161.634529792394	203.764143997866	175.636639618198	8.4467244606475	8.31318470438257	12.3230589840384	9.73197841201492	0.809665332017537	aussi	1.265	1.545	2	si	1.295	1.545	i	1.515	1.545	1.53	171.040520251319	168.845060944446	171.040229334396	0.426946341028643	9.29205775633649	9.06491213887075	9.29202831082429	o	1.265	1.295	aussi	NO	o	1.265	1.295	1.28	171.116013192777	171.116013192777	171.115867734316	0.000345132149552	9.29969729825194	9.29969729607731	9.29968258187854	-0.075492941458521	-0.007639541915449	-2.27095224833133	-0.234785157206558	0.25	-0.030558167661795	fall	NA	NA	NA	NA	NA	NA
NO-000-de-0-F-WE2_A003_3659s811	000-de-0-WE2_A003_3659s811	WE2_A003_3659s811	WE2_decl_5	vous pourrez en parler positivement  			?	?	2	5	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A003.xml	spk2	vous pourrez en parler positivement 	ch_CD2	NOAGE	F	YES	10	5	0.065	1.725	1.761	1.66	81.5702001045918	243.365725420285	172.615250393145	25.6314723425395	-3.52657282710473	15.3977510708226	9.21416753040499	3.06530599401672	positivement	0.885	1.725	4	ma\~^	1.505	1.725	a\~^	1.605	1.725	1.665	218.804917937823	216.317123015877	219.231638964396	1.84414454256408	13.5524904416563	13.2687155933978	13.5861921140405	tiv	1.205	1.505	positivement	NO	i	1.365	1.415	1.39	175.727055828437	174.23635199395	175.670569164756	0.358748191759969	9.76001906840325	9.60958549508404	9.75447012928566	43.0778621093853	3.79247137325303	42.0807710219264	3.6591300983138	0.275	13.7908049936474	rising	NA	NA	NA	NA	NA	NA
NO-000-de-0-F-WE2_A004_4138s075	000-de-0-WE2_A004_4138s075	WE2_A004_4138s075	WE2_decl_6	en fait je suis très bavarde  			?	?	2	6	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A004.xml	spk2	en fait je suis très bavarde 	ZF4	NOAGE	F	YES	7	6	0.035	1.385	1.422	1.35	190.819099622333	421.030409567069	263.719465397474	41.6179125128433	11.1864757342681	24.8893764487186	16.5920641712719	2.57248245648288	bavarde	0.675	1.385	2	va\rcd	1.145	1.385	a	1.205	1.325	1.265	193.42675808182	202.353364061863	196.047542448144	1.34554867621865	11.4213471676048	12.151678898613	11.6538588327702	ba	0.675	1.145	bavarde	NO	a	0.705	1.145	0.925	237.607343094737	275.584295220648	250.110579788435	3.00225703646621	14.9822805051036	17.2732680173841	15.8705844440081	-44.1805850129178	-3.56093333749871	-73.2309311587846	-5.12158911877112	0.34	-10.4733333455844	fall	NA	NA	NA	NA	NA	NA
NO-000-de-0-F-WE2_A005_786s441	000-de-0-WE2_A005_786s441	WE2_A005_786s441	WE2_decl_6	ça change pas trop mon mari  			NO	7	3	6	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A005.xml	spk2	ça change pas trop mon mari 	EH5	NO_SPK_AGE	F	YES	7	6	0.035	1.195	1.224	1.16	143.407148100342	244.37891700069	197.226415992847	28.9886105639212	6.24151895135399	15.4696784980374	11.5646189100512	2.63106513347647	mari	0.935	1.195	2	\rci	1.115	1.195	i	1.145	1.195	1.17	146.834654970798	150.676316871088	147.067510036108	1.07583126480023	6.6491351783046	7.07147314894157	6.67759017367133	ma	0.935	1.115	mari	NO	a	0.965	1.115	1.04	151.17300596182	154.602958829538	152.30126988224	0.550854925620472	7.15420855442638	7.53459572969082	7.28313565214584	-4.3383509910214	-0.505073376121783	-3.9266419584502	-0.463122580749256	0.13	-3.88517981632141	fall	NA	NA	NA	NA	NA	NA
NO-000-de-0-F-WE2_A007_1066s63	000-de-0-WE2_A007_1066s63	WE2_A007_1066s63	WE2_decl_7	je pense que l'on est toujours déçu  			NO	8	3	7	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A007.xml	spk2	je pense que l'on est toujours déçu 	ZU9	NOAGE	F	YES	9	7	0.035	1.305	3.094	1.27	179.807788398428	251.513947762602	208.557649347622	19.3808149452121	10.1576458017399	15.9699659993059	12.6543203509363	1.55843084352757	déçu	0.915	1.305	2	sy	1.065	1.305	y	1.205	1.305	1.255	195.458404074022	195.376483766599	195.244993165216	0.122315942759651	11.6022587068983	11.5946929370768	11.5834264412823	de	0.915	1.065	déçu	NO	e	0.995	1.065	1.03	180.890702870475	187.299845209945	188.932319930108	0.446537725790272	10.2603157298766	10.8592742189151	11.014434229997	14.567701203547	1.34194297702165	8.07663855665342	0.735418718161705	0.225	5.96419100898511	rising	NA	NA	NA	NA	NA	NA
NO-000-de-0-F-WE2_A007_1137s333	000-de-0-WE2_A007_1137s333	WE2_A007_1137s333	WE2_decl_11	depuis quelques temps il y a une épreuve d'anglais à l'oral  			?	?	?	11	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A007.xml	spk2	depuis quelques temps il y a une épreuve d'anglais à l'oral 	ZU9	NOAGE	F	YES	16	11	0.035	2.715	2.739	2.68	90.0640329807514	280.263372586206	195.456227114618	33.6257559292538	-1.81094736543381	17.842062576872	11.3019678113076	3.40171185231498	l'oral	2.295	2.715	2	\rcal	2.445	2.715	a	2.515	2.675	2.595	178.175144924858	175.1319389493	177.70720413355	0.531972827526716	9.99954078904553	9.69374935011562	9.95396814347576	l\ct	2.295	2.445	l'oral	NO	\ct	2.365	2.445	2.405	177.233623270401	177.109627041306	176.920117593884	0.093145750724884	9.90782154150047	9.89549218535674	9.87714371862263	0.941521654457631	0.091719247545052	-1.97768809200622	-0.20174283524112	0.19	0.482732881816065	rising	NA	NA	NA	NA	NA	NA
NO-000-de-0-F-WE2_A007_1297s287	000-de-0-WE2_A007_1297s287	WE2_A007_1297s287	WE2_decl_13	ça tombe bien d'ailleurs parce que ça c'est pas du tout ma spécialité  			?	?	?	13	decla	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	WE2_A007.xml	spk2	ça tombe bien d'ailleurs parce que ça c'est pas du tout ma spécialité 	ZU9	NOAGE	F	YES	17	13	0.095	2.745	2.852	2.65	164.644237628996	368.299911494082	210.564716052132	47.946284168142	8.63263165840348	22.5716625535855	12.5093839738223	3.5082472101797	spécialité	2.025	2.745	5	te	2.565	2.745	e	2.655	2.745	2.7	191.365878902963	196.071286162117	196.059055316041	0.299393543647208	11.2359606974235	11.6542700402393	11.655444370827	li	2.475	2.565	spécialité	NO	i	2.505	2.565	2.535	179.075860676719	179.990851893516	180.370732003098	0.191317498615453	10.0856507416647	10.1742046971356	10.2115353264512	12.2900182262442	1.15030995575875	16.0804342686014	1.48006534310371	0.165	6.97157548944699	rising	NA	NA	NA	NA	NA	NA
